Unnamed: 0,Type of dwelling,General Zoning,Linear feet of street,Lot size in square feet,Type of Acess Road to Property,General shape of property,Flatness of the property,Utilities,Lot configuration,Slope of property,Neighborhood,Proximity to various conditions,Condition2,BldgType,Style of dwelling,Rates the overall material,Rates the overall condition of the house,Original construction date,YearRemodAdd,Type of roof,Roof material,Exterior covering on the house,Exterior2nd,Masonry veneer area in square feet, Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of Heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,econd-floor square feet,	Low-quality finished square feet,Above ground living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half Bathroom,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,PavedDrive,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,$Value of miscellaneous feature,Month Sold (MM),Year Sold (YYYY),SaleType,SaleCondition,SalePrice
1369,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,48,10635,Paved,Moderately Irregular,Lvl,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of the property,Gentle slope,College Creek,Norm,Norm,1Fam,One story,Very Good,Average,2003,2003,Hip,Standard (Composite) Shingle,Vinyl Siding,VinylSd,171,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Below Average Living Quarters,370,Good Living Quarters,972,315,1657,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1668,0,0,1668,1,0,2,0,3,1,Good,8,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2003.0,Finished,2,502,Typical/Average,Typical/Average,Paved,0,262,0,0,0,0,No,No,No,0,May,2010,Warranty Deed - Conventional,Normal Sale,232000
1370,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,90,5400,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,OldTown,Artery,Norm,1Fam,One and one-half story &2nd level finished,Below Average,Above Average,1920,1950,Gable,Standard (Composite) Shingle,Cinder Block,CBlock,0,Fa,Average/Typical,PConc,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,315,Average Rec Room,105,420,840,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,840,534,0,1374,0,0,1,0,2,1,Typical/Average,6,Typical Functionality,0,No,Detached from home,1967.0,Finished,1,338,Typical/Average,Typical/Average,Paved,0,0,198,0,0,0,No,No,No,0,Oct,2009,Warranty Deed - Conventional,Normal Sale,105000
1371,SPLIT OR MULTI-LEVEL,Residential Low-Density,80,9600,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,Split Level,Above Average,Above Average,1955,1996,Hip,Standard (Composite) Shingle,Asbestos Shingles,AsbShng,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Below Average Living Quarters,831,Unfinished,0,161,992,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1661,0,0,1661,1,0,1,0,3,1,Good,8,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),1955.0,Rough Finished,1,377,Typical/Average,Typical/Average,Paved,0,28,0,0,178,0,No,Minimum Privacy,No,0,Oct,2008,Warranty Deed - Conventional,Normal Sale,165500
1372,2-STORY 1946 & NEWER,Residential Low-Density,75,9750,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,College Creek,Norm,Norm,1Fam,Two-story,Good,Above Average,1998,1998,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,975,Unfinished,0,133,1108,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1108,989,0,2097,1,0,2,1,3,1,Good,8,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1998.0,Rough Finished,2,583,Typical/Average,Typical/Average,Paved,253,170,0,0,0,0,No,No,No,0,Jun,2006,Warranty Deed - Conventional,Normal Sale,274300
1373,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,11400,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge,Norm,Norm,1Fam,One story,Very Excellent,Average,2001,2002,Hip,Standard (Composite) Shingle,Vinyl Siding,VinylSd,705,Ex,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,1282,Unfinished,0,1351,2633,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,2633,0,0,2633,1,0,2,1,2,1,Excellent,8,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,2001.0,Rough Finished,3,804,Typical/Average,Typical/Average,Paved,314,140,0,0,0,0,No,No,No,0,Mar,2007,Warranty Deed - Conventional,Normal Sale,466500
1374,2-STORY 1946 & NEWER,Floating Village Residential,85,10625,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerst,Norm,Norm,1Fam,Two-story,Good,Average,2005,2005,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1026,1026,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1026,932,0,1958,0,0,2,1,3,1,Good,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2005.0,Finished,3,936,Typical/Average,Typical/Average,Paved,154,210,0,0,0,0,No,No,No,0,Jul,2008,Warranty Deed - Conventional,Normal Sale,250000
1375,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,89,10991,Paved,Slightly irregular,HLS,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Timber,Norm,Norm,1Fam,One story,Very Good,Average,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,80,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Unfinished,0,Unfinished,0,1571,1571,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1571,0,0,1571,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2007.0,Finished,3,722,Typical/Average,Typical/Average,Paved,100,36,0,0,0,0,No,No,No,0,Dec,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),239000
1376,1-STORY 1945 & OLDER,Residential Low-Density,52,6292,Paved,Regular,Bnk,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,SWISU,Norm,Norm,1Fam,One story,Above Average,Average,1930,1950,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,BrkTil,Good (90-99 inches),Typical - slight dampness allowed,Minimum Exposure,Average Rec Room,384,Unfinished,0,384,768,Gas forced warm air furnace,Average/Typical,N,Standard Circuit Breakers & Romex,790,0,0,790,0,0,1,0,2,1,Typical/Average,4,Typical Functionality,0,No,Detached from home,1925.0,Unfinished,1,160,Fair,Typical/Average,Paved,0,141,0,0,0,0,No,No,No,0,Apr,2008,Warranty Deed - Conventional,Normal Sale,91000
1377,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,10998,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Norm,Norm,1Fam,One and one-half story &2nd level finished,Average,Average,1941,1960,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,408,Below Average Living Quarters,420,156,984,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,984,620,0,1604,0,0,2,0,3,1,Typical/Average,6,Minor Deductions 2,0,No,Detached from home,1977.0,Unfinished,2,660,Typical/Average,Typical/Average,Paved,0,68,0,0,0,0,No,No,No,0,Jul,2009,Warranty Deed - Conventional,Normal Sale,117000
1378,2-STORY PUD - 1946 & NEWER,Residential Medium Density,21,1953,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Briardale,Norm,Norm,Twnhs,Two-story,Above Average,Average,1973,1973,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,408,TA,Average/Typical,CBlock,Typical (80-89 inches),Fair - dampness or some cracking or settling,No Exposure,Below Average Living Quarters,309,Unfinished,0,174,483,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,483,504,0,987,0,0,1,1,2,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1973.0,Unfinished,1,264,Typical/Average,Typical/Average,Paved,72,0,0,0,0,0,No,No,No,0,Jun,2006,Warranty Deed - Conventional,Normal Sale,83000
1379,SPLIT OR MULTI-LEVEL,Residential Low-Density,73,9735,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Timber,Norm,Norm,1Fam,Split Level,Average,Average,2006,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,384,384,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,754,640,0,1394,0,0,2,1,3,1,Good,7,Typical Functionality,0,No,Built-In (Garage part of the house - typically has room above the garage),2007.0,Finished,2,400,Typical/Average,Typical/Average,Paved,100,0,0,0,0,0,No,No,No,0,May,2008,Warranty Deed - Conventional,Normal Sale,167500
1380,1-STORY 1945 & OLDER,Residential Low-Density,45,8212,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Norm,Norm,1Fam,One story,Fair,Fair,1914,1950,Gable,Standard (Composite) Shingle,Stucco,Stucco,0,TA,Fair,BrkTil,Typical (80-89 inches),Fair - dampness or some cracking or settling,No Exposure,Average Rec Room,203,Unfinished,0,661,864,Gas forced warm air furnace,Average/Typical,N,60 AMP Fuse Box and mostly Romex wiring (Fair),864,0,0,864,1,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1938.0,Unfinished,1,200,Typical/Average,Fair,Paved,0,0,96,0,0,0,No,No,No,0,Jun,2010,Warranty Deed - Conventional,Normal Sale,58500
1381,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,12925,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Above Average,Good,1970,1970,Gable,Standard (Composite) Shingle,Brick Face,Plywood,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Below Average Living Quarters,865,Unfinished,0,340,1205,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,2117,0,0,2117,0,0,2,1,4,1,Typical/Average,7,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1970.0,Finished,2,550,Typical/Average,Typical/Average,Paved,0,42,0,0,0,0,No,No,No,0,May,2008,Warranty Deed - Conventional,Normal Sale,237500
1382,2-STORY 1945 & OLDER,Residential Medium Density,60,7200,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,OldTown,Norm,Norm,1Fam,Two-story,Good,Good,1920,1950,Hip,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,BrkTil,Fair (70-79 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,596,596,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,998,764,0,1762,1,0,1,1,4,1,Good,8,Typical Functionality,0,No,Detached from home,1989.0,Unfinished,2,576,Typical/Average,Typical/Average,Dirt/Gravel,36,0,221,0,0,0,No,No,No,0,Oct,2006,Warranty Deed - Conventional,Normal Sale,157000
1383,1-STORY 1945 & OLDER,Residential Low-Density,0,25339,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Norm,Norm,1Fam,One story,Average,Good,1918,2007,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Good,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,816,816,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1416,0,0,1416,0,0,2,0,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2007.0,Unfinished,2,576,Typical/Average,Typical/Average,Dirt/Gravel,0,0,112,0,0,0,No,No,No,0,Aug,2007,Warranty Deed - Conventional,Normal Sale,112000
1384,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,9060,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Norm,Norm,1Fam,One and one-half story &2nd level finished,Above Average,Average,1939,1950,Gable,Standard (Composite) Shingle,Wood Shingles,Wd Shng,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Average Rec Room,204,Unfinished,0,356,560,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,698,560,0,1258,0,0,1,0,2,1,Typical/Average,6,Typical Functionality,0,No,Detached from home,1939.0,Unfinished,1,280,Typical/Average,Typical/Average,Partial Pavement,0,0,0,0,0,0,No,Minimum Privacy,No,0,Oct,2009,Warranty Deed - Conventional,Normal Sale,105000
1385,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,40,5436,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Norm,Norm,1Fam,One and one-half story &2nd level finished,Below Average,Very Good,1922,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Good,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,735,Unfinished,0,61,796,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,796,358,0,1154,1,0,1,0,3,1,Good,7,Typical Functionality,0,No,Detached from home,1922.0,Unfinished,1,240,Typical/Average,Typical/Average,Dirt/Gravel,0,96,0,0,0,0,No,Minimum Privacy,No,0,May,2010,Warranty Deed - Conventional,Normal Sale,125500
1386,2-STORY 1946 & NEWER,Residential Low-Density,80,16692,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NWAmes,RRAn,Norm,1Fam,Two-story,Good,Average,1978,1978,Gable,Standard (Composite) Shingle,Plywood,Plywood,184,TA,Average/Typical,CBlock,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,790,Low Quality,469,133,1392,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1392,1392,0,2784,1,0,3,1,5,1,Good,12,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1978.0,Rough Finished,2,564,Typical/Average,Typical/Average,Paved,0,112,0,0,440,519,Fair,Minimum Privacy,Tennis Court,2000,Jul,2006,Warranty Deed - Conventional,Normal Sale,250000
1387,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,60,8520,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,OldTown,Artery,Norm,1Fam,One and one-half story &2nd level finished,Above Average,Good,1916,1950,Gable,Standard (Composite) Shingle,Stucco,Stucco,0,TA,Good,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,168,Low Quality,546,0,714,Gas hot water or steam heat,Average/Typical,N,Standard Circuit Breakers & Romex,1664,862,0,2526,0,0,2,0,5,1,Good,10,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1916.0,Unfinished,1,216,Typical/Average,Typical/Average,Paved,88,15,0,0,0,0,No,Good Wood,No,0,Aug,2007,Warranty Deed - Cash,Sale between family members,136000
1388,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,42,14892,Paved,Slightly irregular,HLS,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,Gilbert,Norm,Norm,1Fam,One story,Excellent,Average,2006,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,160,Ex,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,1320,Unfinished,0,426,1746,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1746,0,0,1746,1,0,2,0,3,1,Excellent,7,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,2006.0,Finished,3,758,Typical/Average,Typical/Average,Paved,201,39,0,0,0,0,No,No,No,0,Oct,2009,Warranty Deed - Conventional,Normal Sale,377500
1389,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,60,6000,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Norm,Norm,1Fam,One and one-half story &2nd level finished,Above Average,Above Average,1941,1950,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Good,BrkTil,Typical (80-89 inches),Good,No Exposure,Average Living Quarters,375,Unfinished,0,360,735,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,869,349,0,1218,0,1,1,0,3,1,Typical/Average,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,2003.0,Unfinished,2,440,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,Mar,2007,Warranty Deed - Conventional,Normal Sale,131000
1390,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,9100,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Norm,Norm,1Fam,One story,Good,Average,2000,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,244,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,1400,Unfinished,0,125,1525,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1525,0,0,1525,1,0,2,0,3,1,Good,6,Typical Functionality,0,No,Attached to the home,2000.0,Rough Finished,2,541,Typical/Average,Typical/Average,Paved,219,36,0,0,0,0,No,No,No,0,Sep,2006,Warranty Deed - Conventional,Normal Sale,235000
1391,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,65,8944,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,Duplex,One story,Average,Average,1967,1967,Gable,Standard (Composite) Shingle,Plywood,Plywood,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1584,1584,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1584,0,0,1584,0,0,2,0,4,2,Typical/Average,8,Moderate Deductions,0,No,Detached from home,1967.0,Unfinished,3,792,Typical/Average,Typical/Average,Paved,0,152,0,0,0,0,No,No,No,0,Apr,2009,Warranty Deed - Conventional,Normal Sale,124000
1392,SC85,Residential Low-Density,68,7838,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,Split Foyer,Average,Average,1967,1967,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Average Living Quarters,769,Unfinished,0,95,864,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,900,0,0,900,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,1,Poor - Ben Franklin Stove,Attached to the home,1967.0,Rough Finished,1,288,Typical/Average,Typical/Average,Paved,175,144,0,0,0,0,No,Minimum Wood/Wire,No,0,Dec,2006,Warranty Deed - Conventional,Normal Sale,123000
1393,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Medium Density,60,10800,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,OldTown,Norm,Norm,2fmCon,One and one-half story &2nd level finished,Above Average,Good,1905,2000,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,BrkTil,Fair (70-79 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,482,482,Gas forced warm air furnace,Excellent,N,Standard Circuit Breakers & Romex,1221,691,0,1912,0,0,2,0,3,2,Typical/Average,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,2003.0,Unfinished,2,672,Good,Typical/Average,Paved,0,25,212,0,0,0,No,No,No,0,Apr,2008,Warranty Deed - Conventional,Normal Sale,163000
1394,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,53,4045,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Bloomington Heights,Norm,Norm,TwnhsE,One story,Good,Average,2006,2006,Hip,Standard (Composite) Shingle,Vinyl Siding,VinylSd,45,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,1070,Unfinished,0,286,1356,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1500,0,0,1500,1,0,2,0,2,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2006.0,Finished,3,648,Typical/Average,Typical/Average,Paved,161,20,0,0,0,0,No,No,No,0,Oct,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),246578
1395,2-STORY 1946 & NEWER,Residential Low-Density,88,12665,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Timber,Norm,Norm,1Fam,Two-story,Very Good,Average,2005,2006,Hip,Standard (Composite) Shingle,Vinyl Siding,VinylSd,245,Gd,Average/Typical,PConc,Good (90-99 inches),Good,Good Exposure,Unfinished,0,Unfinished,0,1094,1094,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1133,1349,0,2482,0,0,2,1,4,1,Good,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2005.0,Finished,3,642,Typical/Average,Typical/Average,Paved,144,39,0,0,0,0,No,No,No,0,Feb,2007,Warranty Deed - Conventional,Normal Sale,281213
